station_id,start_counts,end_counts,start_station_name,start_station_latitude,start_station_longitude
87.0,392,438,Folsom St at 13th St,37.769757,-122.415674
179.0,391,290,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278
29.0,386,365,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323335
137.0,385,303,Jersey St at Castro St,37.750506,-122.4339496
250.0,380,383,North Berkeley BART Station,37.873558,-122.283093
317.0,373,395,San Salvador St at 9th St,37.333954999999996,-121.877349
118.0,373,300,Eureka Valley Recreation Center,37.7591769,-122.4369431
203.0,373,429,Webster St at 2nd St,37.795194764385954,-122.27396965026855
166.0,365,363,College Ave at Alcatraz Ave,37.8513755,-122.25252330000001
33.0,363,374,Golden Gate Ave at Hyde St,37.7816495,-122.4154077
385.0,359,361,Woolsey St at Sacramento St,37.8505777,-122.2781754
34.0,356,337,Father Alfred E Boeddeker Park,37.78398789999999,-122.41240800000001
274.0,354,407,Oregon St at Adeline St,37.857567200000005,-122.26755829999999
201.0,353,376,10th St at Fallon St,37.797672799999994,-122.2629973
383.0,347,270,Golden Gate Ave at Franklin St,37.780787126746205,-122.42193371057509
136.0,343,303,23rd St at San Bruno Ave,37.7544356,-122.40436389999999
193.0,340,438,Grand Ave at Santa Clara Ave,37.812744099999996,-122.2472152
106.0,335,311,Sanchez St at 17th St,37.7632417,-122.4306746
375.0,331,237,Grove St at Masonic Ave,37.77483629413345,-122.44654566049576
180.0,326,325,Telegraph Ave at 23rd St,37.8126783,-122.2687726
357.0,325,305,2nd St at Julian St,37.34113203547954,-121.89284384250641
54.0,325,253,Alamo Square (Steiner St at Fulton St),37.777546770173224,-122.43327409029007
210.0,315,259,45th St at Manila,37.833293522232104,-122.25622415542604
230.0,313,322,14th St at Mandela Pkwy,37.810743200000005,-122.2914153
189.0,312,264,Genoa St at 55th St,37.83964879999999,-122.2717561
251.0,312,334,California St at University Ave,37.87055532905745,-122.27972030639648
242.0,309,338,Milvia St at Derby St,37.86012459911685,-122.2693844139576
63.0,309,357,Bryant St at 6th St,37.77591022233337,-122.40257500673576
277.0,308,276,Morrison Ave at Julian St,37.3336577,-121.90858590000002
278.0,307,315,The Alameda at Bush St,37.3319323,-121.9048882
39.0,307,190,Scott St at Golden Gate Ave,37.778999400000004,-122.4368608
365.0,305,252,Turk St at Fillmore St,37.78045005996349,-122.43194639682768
138.0,299,202,Jersey St at Church St,37.7509004,-122.42741140000001
175.0,290,271,49th St at Telegraph Ave,37.8359455,-122.2623663
131.0,289,260,22nd St at Dolores St,37.75500026037814,-122.42572769522668
341.0,286,290,Fountain Alley at S 2nd St,37.33618830029063,-121.8892765045166
276.0,285,274,Julian St at The Alameda,37.3322326,-121.91251650000001
270.0,283,361,Ninth St at Heinz Ave,37.853489399999994,-122.28941540000001
255.0,280,249,Virginia St at Shattuck Ave,37.876572549106854,-122.26952791213988
146.0,275,228,30th St at San Jose Ave,37.7423139,-122.42318049999999
194.0,273,278,Lakeshore Ave at Trestle Glen Rd,37.811080700000005,-122.24326770000002
380.0,273,259,Masonic Ave at Turk St,37.779046658472055,-122.44729131460188
311.0,268,276,Paseo De San Antonio at 2nd St,37.333798,-121.88694299999999
338.0,266,207,13th St at Franklin St,37.803189081131634,-122.27057933807372
212.0,254,261,Mosswood Park,37.82489252995112,-122.26043654610294
373.0,254,224,Potrero del Sol Park (25th St at Utah St),37.75179164525661,-122.40521550178528
268.0,252,241,Ellsworth St at Russell St,37.857490214571534,-122.26157784461977
259.0,244,322,Addison St at Fourth St,37.866248999999996,-122.29937079999999
381.0,237,175,20th St at Dolores St,37.75823842417928,-122.4260938167572
18.0,235,216,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709595
315.0,235,196,Market St at 45th St,37.834174,-122.27296799999999
148.0,232,238,Horton St at 40th St,37.82970460000001,-122.28761019999999
186.0,229,228,Lakeside Dr at 14th St,37.8013189,-122.26264180000001
327.0,227,243,5th St at San Salvador St,37.33203868095132,-121.8817663192749
265.0,221,268,Ninth St at Parker St,37.8588682,-122.2912095
263.0,220,256,Channing Way at San Pablo Ave,37.862827100000004,-122.29023049999999
372.0,218,213,Madison St at 17th St,37.8040367840236,-122.26240932941437
337.0,216,230,Webster St at 19th St,37.80696976095594,-122.26658821105957
202.0,211,232,Washington St at 8th St,37.8007544,-122.2748943
308.0,207,205,San Pedro Square,37.336802,-121.89409009999999
